ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch1.genre.ja	ニュースを読む
ch1.id	1
ch1.parts.0.check.bank.0	とあって
ch1.parts.0.check.bank.1	に{至|いた}るまで
ch1.parts.0.check.bank.2	を{皮切|かわき}りに
ch1.parts.0.check.bank.3	ならでは
ch1.parts.0.check.bank.4	にもまして
ch1.parts.0.check.bank.5	からして
ch1.parts.0.check.items.0.answer	を{皮切|かわき}りに
ch1.parts.0.check.items.0.q	1979年のウォークマンの発売＿＿、音楽プレーヤーの{小型化|こがたか}・{多様化|たようか}の競争が始まった。
ch1.parts.0.check.items.1.answer	ならでは
ch1.parts.0.check.items.1.q	{盆栽|ぼんさい}はかつて日本＿＿のものだったが今は世界中でBONSAIとして知られている。
ch1.parts.0.check.items.2.answer	からして
ch1.parts.0.check.items.2.q	ファーストクラスって、席の広さ＿＿全然違うよね。
ch1.parts.0.check.items.3.answer	とあって
ch1.parts.0.check.items.3.q	{成人式|せいじんしき}＿＿{華|はな}やかな{振袖姿|ふりそですがた}の女性が多く目につく。
ch1.parts.0.check.items.4.answer	に{至|いた}るまで
ch1.parts.0.check.items.4.q	彼はコートから下着＿＿全てクリーニング屋{任|まか}せだ。
ch1.parts.0.check.items.5.answer	にもまして
ch1.parts.0.check.items.5.q	シリーズ{最新作|さいしんさく}は{前作|ぜんさく}＿＿{激|はげ}しいアクションシーン{満載|まんさい}でお届けします。
ch1.parts.0.check.prompt.ja	
ch1.parts.0.check.type	fill
ch1.parts.0.label	
ch1.parts.0.points.0.examples.0.ja	{中村監督|なかむらかんとく}の{新作|しんさく}映画は、来月{初旬|しょじゅん}にパリで行われる海外ロケを{皮切|かわき}りに、{本格的|ほんかくてき}な{撮影|さつえい}に入る。
ch1.parts.0.points.0.examples.1.ja	今回のコンサートツアーは、{名古屋|なごや}で{開催|かいさい}されるのを{皮切|かわき}りにして、全国20都市を回る予定です。
ch1.parts.0.points.0.examples.2.ja	彼は、この小説がベストセラーになったのを{皮切|かわき}りとして、次々と人気シリーズを生み出していった。
ch1.parts.0.points.0.forms.0	[V-る]／[V-た] + の + を{皮切|かわき}りに（して）
ch1.parts.0.points.0.forms.1	[V-る]／[V-た] + の + を{皮切|かわき}りとして
ch1.parts.0.points.0.forms.2	[N] + を{皮切|かわき}りに（して）
ch1.parts.0.points.0.forms.3	[N] + を{皮切|かわき}りとして
ch1.parts.0.points.0.marks.0	praise
ch1.parts.0.points.0.marks.1	formal
ch1.parts.0.points.0.no	1
ch1.parts.0.points.0.pattern	〜を{皮切|かわき}りに
ch1.parts.0.points.0.phrase	「{樽明|たるあ}け」**を{皮切|かわき}りに**
ch1.parts.0.points.0.practice.0.items.0.answer	0
ch1.parts.0.points.0.practice.0.items.0.options.0	を{皮切|かわき}りに
ch1.parts.0.points.0.practice.0.items.0.options.1	につれて
ch1.parts.0.points.0.practice.0.items.0.q	{四葉商事|よつばしょうじ}は、シンガポールに{支店|してん}を出したの（　）、世界各地に{支店|してん}を増やしていった。
ch1.parts.0.points.0.practice.0.items.1.answer	1
ch1.parts.0.points.0.practice.0.items.1.options.0	を{皮切|かわき}りに
ch1.parts.0.points.0.practice.0.items.1.options.1	につれて
ch1.parts.0.points.0.practice.0.items.1.q	子どもの成長（　）、教育費の負担が{家計|かけい}に重くのしかかる。
ch1.parts.0.points.0.practice.0.items.2.answer	1
ch1.parts.0.points.0.practice.0.items.2.options.0	を{皮切|かわき}りに
ch1.parts.0.points.0.practice.0.items.2.options.1	をきっかけに
ch1.parts.0.points.0.practice.0.items.2.q	{車椅子|くるまいす}を使用する学生の入学（　）、校内移動をサポートする学生ボランティアが{組織|そしき}された。
ch1.parts.0.points.0.practice.0.items.3.answer	0
ch1.parts.0.points.0.practice.0.items.3.options.0	を{皮切|かわき}りに
ch1.parts.0.points.0.practice.0.items.3.options.1	をきっかけに
ch1.parts.0.points.0.practice.0.items.3.q	{青森|あおもり}ねぶた祭り（　）{東北四大|とうほくよんだい}祭りが今年も行われる。
ch1.parts.0.points.0.practice.0.prompt.ja	
ch1.parts.0.points.0.practice.0.type	choice
ch1.parts.0.points.0.stars	2
ch1.parts.0.points.0.usage.ja	「〜を{皮切|かわき}りに」は「〜から始まって、次々に同じようなことが続く」と言いたいときに使われる。{盛|さか}んになったり、発展したりするときによく使われる。
ch1.parts.0.points.1.examples.0.ja	今日は夏休み最初の日曜とあって、全国の海水浴場は多くの人でにぎわった。
ch1.parts.0.points.1.examples.1.ja	この{物件|ぶっけん}は、静かで交通も便利とあって、{入居|にゅうきょ}希望者が{殺到|さっとう}している。
ch1.parts.0.points.1.examples.2.ja	パンダの{前足|まえあし}の形は大変珍しいとあって、{遺伝学|いでんがく}の研究対象として注目されている。
ch1.parts.0.points.1.examples.3.ja	あのダ・ヴィンチのモナリザが見られるとあって、開館前から長い列ができたという。
ch1.parts.0.points.1.forms.0	[Pl] + とあって
［[なA]（だ）　[N]（だ）］
ch1.parts.0.points.1.marks.0	praise
ch1.parts.0.points.1.marks.1	formal
ch1.parts.0.points.1.no	2
ch1.parts.0.points.1.pattern	〜とあって
ch1.parts.0.points.1.phrase	ビールの{本場|ほんば}**とあって**
ch1.parts.0.points.1.practice.0.items.0.answer	2
ch1.parts.0.points.1.practice.0.items.0.options.0	まあまあだった
ch1.parts.0.points.1.practice.0.items.0.options.1	ひどいものだった
ch1.parts.0.points.1.practice.0.items.0.options.2	{素晴|すば}らしいものだった
ch1.parts.0.points.1.practice.0.items.0.q	有名なレストランのシェフが作った料理とあって、材料、味、見た目、全てが（　）。
ch1.parts.0.points.1.practice.0.items.1.answer	0
ch1.parts.0.points.1.practice.0.items.1.options.0	マスコミは{一斉|いっせい}に{取材|しゅざい}を開始した
ch1.parts.0.points.1.practice.0.items.1.options.1	本当かどうかニュースで確かめよう
